Freq.	V(n081)	V(n083)
2.00000000000000e+001	(-9.48432357649848e+001dB,1.79652529445443e+002°)	(-9.48432902570993e+001dB,-3.48181781228303e-001°)
2.04658598456151e+001	(-9.44429982944546e+001dB,1.79644430889797e+002°)	(-9.44430527322509e+001dB,-3.56297426027075e-001°)
2.09425709610180e+001	(-9.40427496283314e+001dB,1.79636143343980e+002°)	(-9.40428040514358e+001dB,-3.64602657721703e-001°)
2.14303861047521e+001	(-9.36424892388847e+001dB,1.79627662373502e+002°)	(-9.36425437020745e+001dB,-3.73101699495637e-001°)
2.19295639228637e+001	(-9.32422165731429e+001dB,1.79618983450449e+002°)	(-9.32422711148432e+001dB,-3.81798893216456e-001°)
2.24403690860393e+001	(-9.28419310519880e+001dB,1.79610101929616e+002°)	(-9.28419856854145e+001dB,-3.90698863028243e-001°)
2.29630724299377e+001	(-9.24416320692053e+001dB,1.79601013058913e+002°)	(-9.24416867964664e+001dB,-3.99806421051661e-001°)
2.34979510987906e+001	(-9.20413189906305e+001dB,1.79591711970014e+002°)	(-9.20413738123571e+001dB,-4.09126469692978e-001°)
2.40452886923483e+001	(-9.16409911526850e+001dB,1.79582193681588e+002°)	(-9.16410460678372e+001dB,-4.18663960970050e-001°)
2.46053754162476e+001	(-9.12406478612329e+001dB,1.79572453102567e+002°)	(-9.12407028531954e+001dB,-4.28423945086829e-001°)
2.51785082358833e+001	(-9.08402883882237e+001dB,1.79562485034141e+002°)	(-9.08403434147752e+001dB,-4.38411698454540e-001°)
2.57649910338627e+001	(-9.04399119678453e+001dB,1.79552284150868e+002°)	(-9.04399669780703e+001dB,-4.48632755992317e-001°)
2.63651347711281e+001	(-9.00395177974146e+001dB,1.79541844982882e+002°)	(-9.00395727563747e+001dB,-4.59092755964672e-001°)
2.69792576518331e+001	(-8.96391050378913e+001dB,1.79531161916075e+002°)	(-8.96391599308348e+001dB,-4.69797340930286e-001°)
2.76076852920577e+001	(-8.92386728126451e+001dB,1.79520229203849e+002°)	(-8.92387276325732e+001dB,-4.80752229401864e-001°)
2.82507508924551e+001	(-8.88382202037303e+001dB,1.79509040968842e+002°)	(-8.88382749440623e+001dB,-4.91963306413835e-001°)
2.89087954149185e+001	(-8.84377462499543e+001dB,1.79497591194961e+002°)	(-8.84378009070221e+001dB,-5.03436653913160e-001°)
2.95821677633641e+001	(-8.80372499445332e+001dB,1.79485873723034e+002°)	(-8.80373045307962e+001dB,-5.15178493964325e-001°)
3.02712249687242e+001	(-8.76367302327826e+001dB,1.79473882245552e+002°)	(-8.76367847849440e+001dB,-5.27195081548659e-001°)
3.09763323782496e+001	(-8.72361860101134e+001dB,1.79461610303725e+002°)	(-8.72362405726938e+001dB,-5.39492705791948e-001°)
3.16978638492223e+001	(-8.68356161196730e+001dB,1.79449051280045e+002°)	(-8.68356707234278e+001dB,-5.52077866951564e-001°)
3.24362019471786e+001	(-8.64350193500003e+001dB,1.79436198395294e+002°)	(-8.64350740100256e+001dB,-5.64957342714746e-001°)
3.31917381487512e+001	(-8.60343944327653e+001dB,1.79423044702936e+002°)	(-8.60344491583987e+001dB,-5.78138116123671e-001°)
3.39648730492349e+001	(-8.56337400407944e+001dB,1.79409583085926e+002°)	(-8.56337948417119e+001dB,-5.91627306519743e-001°)
3.47560165749875e+001	(-8.52330547860031e+001dB,1.79395806261765e+002°)	(-8.52331096676669e+001dB,-6.05432149486744e-001°)
3.55655882007784e+001	(-8.48323372151538e+001dB,1.79381706791983e+002°)	(-8.48323921653613e+001dB,-6.19560052819192e-001°)
3.63940171721997e+001	(-8.44315858021395e+001dB,1.79367277079672e+002°)	(-8.44316407864559e+001dB,-6.34018702674095e-001°)
3.72417427332573e+001	(-8.40307989434301e+001dB,1.79352509323221e+002°)	(-8.40308539221727e+001dB,-6.48816086005324e-001°)
3.81092143592649e+001	(-8.36299749600569e+001dB,1.79337395494957e+002°)	(-8.36300299067028e+001dB,-6.63960350094865e-001°)
3.89968919951609e+001	(-8.32291120970940e+001dB,1.79321927358550e+002°)	(-8.32291669970390e+001dB,-6.79459754895578e-001°)
3.99052462993776e+001	(-8.28282085186675e+001dB,1.79306096482887e+002°)	(-8.28282633606770e+001dB,-6.95322735234093e-001°)
4.08347588933906e+001	(-8.24272623024800e+001dB,1.79289894235778e+002°)	(-8.24273170743032e+001dB,-7.11557964403627e-001°)
4.17859226170808e+001	(-8.20262714349012e+001dB,1.79273311776531e+002°)	(-8.20263261291239e+001dB,-7.28174370732752e-001°)
4.27592417900446e+001	(-8.16252338065323e+001dB,1.79256340045981e+002°)	(-8.16252884343290e+001dB,-7.45181078374714e-001°)
4.37552324789910e+001	(-8.12241472078860e+001dB,1.79238969759621e+002°)	(-8.12242018020577e+001dB,-7.62587306598339e-001°)
4.47744227713668e+001	(-8.08230093243495e+001dB,1.79221191399522e+002°)	(-8.08230639209671e+001dB,-7.80402437059743e-001°)
4.58173530553554e+001	(-8.04218177316106e+001dB,1.79202995205364e+002°)	(-8.04218723551156e+001dB,-7.98636160545100e-001°)
4.68845763063984e+001	(-8.00205698908273e+001dB,1.79184371167001e+002°)	(-8.00206245563689e+001dB,-8.17298500692307e-001°)
4.79766583803898e+001	(-7.96192631439393e+001dB,1.79165309014222e+002°)	(-7.96193178648134e+001dB,-8.36399750426645e-001°)
4.90941783137006e+001	(-7.92178947099650e+001dB,1.79145798217696e+002°)	(-7.92179495003125e+001dB,-8.55950422241948e-001°)
5.02377286301916e+001	(-7.88164616794299e+001dB,1.79125828007263e+002°)	(-7.88165165462094e+001dB,-8.75961230221790e-001°)
5.14079156553772e+001	(-7.84149610025443e+001dB,1.79105387392183e+002°)	(-7.84150159323851e+001dB,-8.96443157367073e-001°)
5.26053598379076e+001	(-7.80133894739524e+001dB,1.79084465115415e+002°)	(-7.80134444346878e+001dB,-9.17407581979962e-001°)
5.38306960785383e+001	(-7.76117437295925e+001dB,1.79063049572548e+002°)	(-7.76117986892143e+001dB,-9.38866272850167e-001°)
5.50845740667633e+001	(-7.72100202499845e+001dB,1.79041128807609e+002°)	(-7.72100751872030e+001dB,-9.60831272981756e-001°)
5.63676586252890e+001	(-7.68082153542481e+001dB,1.79018690551898e+002°)	(-7.68082702546475e+001dB,-9.83314875562510e-001°)
5.76806300625321e+001	(-7.64063251889163e+001dB,1.78995722232465e+002°)	(-7.64063800380465e+001dB,-1.00632968064170e+000°)
5.90241845333277e+001	(-7.60043457173630e+001dB,1.78972210959612e+002°)	(-7.60044004995174e+001dB,-1.02988865086581e+000°)
6.03990344080403e+001	(-7.56022727103254e+001dB,1.78948143510225e+002°)	(-7.56023274177875e+001dB,-1.05400511867118e+000°)
6.18059086502718e+001	(-7.52001017364676e+001dB,1.78923506313804e+002°)	(-7.52001563828916e+001dB,-1.07869270494730e+000°)
6.32455532033675e+001	(-7.47978281528553e+001dB,1.78898285437503e+002°)	(-7.47978827692909e+001dB,-1.10396526336470e+000°)
6.47187313859256e+001	(-7.43954470948694e+001dB,1.78872466571972e+002°)	(-7.43955017112866e+001dB,-1.12983700043570e+000°)
6.62262242965182e+001	(-7.39929534658630e+001dB,1.78846035014439e+002°)	(-7.39930081027548e+001dB,-1.15632259238484e+000°)
6.77688312278404e+001	(-7.35903419272870e+001dB,1.78818975650764e+002°)	(-7.35903966001447e+001dB,-1.18343717849915e+000°)
6.93473700905062e+001	(-7.31876068897927e+001dB,1.78791272943127e+002°)	(-7.31876616149848e+001dB,-1.21119631170855e+000°)
7.09626778467150e+001	(-7.27847425048821e+001dB,1.78762910944677e+002°)	(-7.27847972988771e+001dB,-1.23961590650522e+000°)
7.26156109540202e+001	(-7.23817426489736e+001dB,1.78733873355547e+002°)	(-7.23817975168744e+001dB,-1.26871221086405e+000°)
7.43070458194344e+001	(-7.19786008924783e+001dB,1.78704143521899e+002°)	(-7.19786558171810e+001dB,-1.29850191341069e+000°)
7.60378792641121e+001	(-7.15753104764040e+001dB,1.78673704284788e+002°)	(-7.15753654274878e+001dB,-1.32900232421544e+000°)
7.78090289988560e+001	(-7.11718643152862e+001dB,1.78642537871380e+002°)	(-7.11719192663260e+001dB,-1.36023135923970e+000°)
7.96214341106993e+001	(-7.07682549957715e+001dB,1.78610625946506e+002°)	(-7.07683099286892e+001dB,-1.39220742255366e+000°)
8.14760555608224e+001	(-7.03644747575090e+001dB,1.78577949666326e+002°)	(-7.03645296570870e+001dB,-1.42494939231814e+000°)
8.33738766940670e+001	(-6.99605154700208e+001dB,1.78544489672224e+002°)	(-6.99605703188500e+001dB,-1.45847668335377e+000°)
8.53159037603184e+001	(-6.95563686116980e+001dB,1.78510226060460e+002°)	(-6.95564233925936e+001dB,-1.49280930816934e+000°)
8.73031664480331e+001	(-6.91520252499106e+001dB,1.78475138351539e+002°)	(-6.91520799588841e+001dB,-1.52796786580349e+000°)
8.93367184301925e+001	(-6.87474760207733e+001dB,1.78439205461172e+002°)	(-6.87475306762649e+001dB,-1.56397346006999e+000°)
9.14176379229749e+001	(-6.83427111080832e+001dB,1.78402405670777e+002°)	(-6.83427657396176e+001dB,-1.60084772658765e+000°)
9.35470282574395e+001	(-6.79377202213816e+001dB,1.78364716595061e+002°)	(-6.79377748538336e+001dB,-1.63861299184345e+000°)
9.57260184645275e+001	(-6.75324925738767e+001dB,1.78326115144456e+002°)	(-6.75325472251327e+001dB,-1.67729235719023e+000°)
9.79557638736891e+001	(-6.71270168617847e+001dB,1.78286577487300e+002°)	(-6.71270715483577e+001dB,-1.71690969078641e+000°)
1.00237446725454e+002	(-6.67212812464990e+001dB,1.78246079040028e+002°)	(-6.67213359873681e+001dB,-1.75748958368389e+000°)
1.02572276798273e+002	(-6.63152733324849e+001dB,1.78204594540726e+002°)	(-6.63153281440168e+001dB,-1.79905725680006e+000°)
1.04961492049954e+002	(-6.59089801184062e+001dB,1.78162098151984e+002°)	(-6.59090350003296e+001dB,-1.84163852332468e+000°)
1.07406359274050e+002	(-6.55023879295661e+001dB,1.78118563309108e+002°)	(-6.55024428604546e+001dB,-1.88526004186199e+000°)
1.09908174771525e+002	(-6.50954823949788e+001dB,1.78073962379105e+002°)	(-6.50955373469280e+001dB,-1.92994961417858e+000°)
1.12468265038070e+002	(-6.46882484553135e+001dB,1.78028266604105e+002°)	(-6.46883034065648e+001dB,-1.97573612217608e+000°)
1.15087987467431e+002	(-6.42806703388296e+001dB,1.77981446236139e+002°)	(-6.42807252732463e+001dB,-2.02264937753791e+000°)
1.17768731071118e+002	(-6.38727315135285e+001dB,1.77933470577962e+002°)	(-6.38727864146818e+001dB,-2.07072013132960e+000°)
1.20511917214871e+002	(-6.34644146393476e+001dB,1.77884307934586e+002°)	(-6.34644694875907e+001dB,-2.11998017112702e+000°)
1.23319000372296e+002	(-6.30557015236960e+001dB,1.77833925543864e+002°)	(-6.30557563029227e+001dB,-2.17046240217913e+000°)
1.26191468896038e+002	(-6.26465730772260e+001dB,1.77782289508592e+002°)	(-6.26466277893743e+001dB,-2.22220083658641e+000°)
1.29130845806931e+002	(-6.22370092678910e+001dB,1.77729364729128e+002°)	(-6.22370639350958e+001dB,-2.27523056787852e+000°)
